Class Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,InstSpec,LLInst,MsgSent,MsgRecv,MsgSelf,Diags,Role Stereotypes
Data.brain.bo.AbstractBusinessObject,0,5,4,0,2,0,0,0,0,0,0,0,0,0,1,9,0,0,0,6,0,9,2,0,0,0,0,0,0,1,Interfacer
Data.brain.bo.PortfolioData,6,12,11,0,8,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,4,3,14,0,0,0,0,0,0,1,Information Holder
Data.brain.bo.TickerData,7,7,7,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,2,9,0,0,0,0,0,0,1,Information Holder
Data.brain.bo.TickerValue,5,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Information Holder
Data.brain.bo.UserData,4,8,5,0,5,0,0,0,0,0,0,0,0,0,6,5,0,0,0,1,4,3,11,0,0,0,0,0,0,1,Service Provider
Data.brain.gui.charts.AbstractChartingTool,2,4,4,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,2,0,0,0,0,0,0,1,Interfacer
Data.brain.gui.charts.ChartingToolsFacade,6,5,5,0,3,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,6,0,5,0,0,0,0,0,0,1,Service Provider
Data.brain.gui.charts.PortfolioChartingTool,2,4,4,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,2,1,3,0,0,0,0,0,0,1,Service Provider
Data.brain.gui.charts.TickerChartingTool,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Service Provider
Data.brain.gui.charts.UserChartingTool,0,3,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,Service Provider
Data.brain.gui.tree.TreePortfolioBrowser,2,5,5,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,2,1,4,0,0,0,0,0,0,1,Information Holder
Data.brain.Main,5,5,5,1,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,5,0,4,0,0,0,0,0,0,1,Controller
Data.dal.DataFeed,8,6,4,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,2,0,0,0,0,0,0,1,Information Holder
Data.dal.Db,3,9,9,0,5,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,2,0,14,0,0,0,0,0,0,1,Information Holder
Data.dal.ResourceBundleHandler,6,9,8,1,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,10,0,0,0,0,0,0,1,Controller
Data.ga.GAAlgorithm,1,4,3,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,1,0,10,0,0,0,0,0,0,1,Interfacer
Data.ga.GAEnumAllelesSet,9,18,15,6,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,9,0,0,0,0,0,0,1,Information Holder
Data.ga.Genome,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Information Holder
Data.ga.RankSelector,4,12,12,3,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,3,3,7,0,0,0,0,0,0,1,Service Provider
Data.ga.UniformCrossover,2,3,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,Coordinator
Data.ga.VectorAllelesGenome,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,Coordinator
Data.ga.VectorGenome,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Coordinator
Data.gaPortfolio.PortfolioAlgorithm,2,8,8,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,Coordinator
Data.gaPortfolio.SharpePortfolioEvaluator,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Service Provider
